r,h,"FC1,2","FC2,1","FC2,2",FCsum,,,,,
2.5,2.8,3.41386,-4.76545,14.78157,5.23342,,,,,
2.5,2.85,3.5005,-4.86943,15.11082,5.35472,,,,,
2.5,2.9,3.56982,-4.9734,15.42274,5.4587,,,,,
2.5,2.95,3.63914,-5.07737,15.76932,5.58,,,,,
2.5,3,3.70845,-5.23333,16.06391,5.66665,,,,,
2.5,3.05,3.77777,-5.28532,16.41049,5.80528,,,,,
2.5,3.1,3.86442,-5.40662,16.73974,5.90926,,,,,
2.5,3.15,3.95106,-5.5106,17.06899,6.03056,,,,,
2.5,3.2,4.02038,-5.61457,17.39824,6.15186,,,,,
2.5,3.25,4.10703,-5.73587,17.74481,6.25584,,,,,
2.5,3.3,4.17634,-5.83985,18.07406,6.37714,,,,,
2.5,3.35,4.24566,-5.94382,18.40331,6.49845,,,,,
2.5,3.4,4.31498,-6.06512,18.74989,6.60242,,,,,
2.5,3.45,4.38429,-6.1691,19.09647,6.74106,,,,,
2.5,3.5,4.48827,-6.2904,19.44305,6.84503,,,,,
2.5,3.55,4.55759,-6.37704,19.75497,6.98367,,,,,
2.5,3.6,4.6269,-6.51567,20.13621,7.08764,,,,,
2.5,3.65,4.71355,-6.61965,20.46545,7.20895,,,,,
2.5,3.7,4.78286,-6.72362,20.81203,7.33025,,,,,
2.5,3.75,4.86951,-6.84492,21.15861,7.43423,,,,,
2.5,3.8,4.93883,-6.96623,21.52252,7.55553,,,,,
2.5,3.85,5.00814,-7.0702,21.8691,7.71149,,,,,
2.5,3.9,5.09479,-7.17417,22.19835,7.81547,,,,,
2.5,3.95,5.18144,-7.3128,22.57958,7.91944,,,,,
2.5,4,5.25075,-7.41678,22.92616,8.05808,,,,,
2.5,4.05,5.3374,-7.53808,23.27274,8.17938,,,,,
2.5,4.1,5.42405,-7.65938,23.63665,8.30069,,,,,
2.5,4.15,5.47603,-7.78069,24.00055,8.42199,,,,,
2.5,4.2,5.58001,-7.90199,24.36446,8.54329,,,,,
2.5,4.25,5.64933,-8.00596,24.71104,8.68193,,,,,
2.5,4.3,5.73597,-8.14459,25.09228,8.7859,,,,,
2.5,4.35,5.82262,-8.26589,25.45618,8.90721,,,,,
