x,y,"FC1,2","FC2,1","FC2,2","FC2,3","FC3,2"
0,-0.5,3.08460,-4.40155,13.70718,-4.41880,3.32721
0,0,3.18858,-4.40155,13.72450,-4.43613,3.20591
0,0.5,3.32721,-4.40155,13.70718,-4.41880,3.08460
0,1,3.46584,-4.36689,13.63786,-4.38414,2.98063
0,1.5,3.60448,-4.29757,13.49923,-4.31483,2.87665
0,2,3.76044,-4.21093,13.30861,-4.22818,2.75535
0,2.5,3.89907,-4.10695,13.10066,-4.12421,2.65137
0,3,4.07237,-3.96832,12.82340,-4.00291,2.56472
0,3.5,4.24566,-3.82969,12.51148,-3.84695,2.47808
0,4,4.43628,-3.67373,12.18223,-3.69100,2.40876
0,4.5,4.62690,-3.50044,11.81832,-3.51771,2.32212
0,5,4.83485,-3.34448,11.47175,-3.34442,2.25280
0.5,-5,2.23547,-3.20585,11.43709,-3.44840,4.83485
0.5,-4.5,2.32212,-3.36181,11.81832,-3.63901,4.62690
0.5,-4,2.40876,-3.50044,12.18223,-3.84695,4.41895
0.5,-3.5,2.49541,-3.65640,12.51148,-4.02024,4.24566
0.5,-3,2.56472,-3.77770,12.82340,-4.17620,4.07237
0.5,-2.5,2.66870,-3.89901,13.10066,-4.33215,3.89907
0.5,-2,2.77268,-4.00298,13.32594,-4.45346,3.74311
0.5,-1.5,2.85932,-4.07230,13.49923,-4.54010,3.60448
0.5,-1,2.98063,-4.12428,13.63786,-4.60941,3.46584
0.5,-0.5,3.08460,-4.15894,13.72450,-4.66140,3.32721
0.5,0,3.18858,-4.15894,13.74183,-4.67873,3.20591
0.5,0.5,3.32721,-4.15894,13.72450,-4.66140,3.08460
0.5,1,3.46584,-4.12428,13.65519,-4.62674,2.98063
0.5,1.5,3.58715,-4.07230,13.51656,-4.55743,2.85932
0.5,2,3.74311,-4.00298,13.32594,-4.45346,2.75535
0.5,2.5,3.89907,-3.89901,13.10066,-4.33215,2.66870
0.5,3,4.07237,-3.79503,12.84073,-4.19353,2.56472
0.5,3.5,4.24566,-3.65640,12.52881,-4.02024,2.47808
0.5,4,4.43628,-3.50044,12.16490,-3.82963,2.40876
0.5,4.5,4.60957,-3.36181,11.80099,-3.63901,2.32212
0.5,5,4.81752,-3.18852,11.45442,-3.46572,2.25280
1,-5,2.25280,-3.08455,11.45442,-3.56970,4.81752
1,-4.5,2.30479,-3.22318,11.81832,-3.77764,4.59224
1,-4,2.40876,-3.36181,12.18223,-3.98558,4.41895
1,-3.5,2.47808,-3.48311,12.51148,-4.17620,4.22833
1,-3,2.56472,-3.62174,12.84073,-4.36681,4.03771
1,-2.5,2.65137,-3.70839,13.10066,-4.52277,3.88175
1,-2,2.75535,-3.79503,13.34327,-4.67873,3.74311
1,-1.5,2.84199,-3.84702,13.53389,-4.78270,3.58715
1,-1,2.96330,-3.91634,13.68985,-4.86934,3.44851
1,-0.5,3.06727,-3.93366,13.75916,-4.92133,3.32721
1,0,3.18858,-3.95099,13.77649,-4.92133,3.18858
1,0.5,3.32721,-3.95099,13.75916,-4.90400,3.08460
1,1,3.44851,-3.91634,13.68985,-4.86934,2.96330
1,1.5,3.58715,-3.86435,13.55122,-4.78270,2.85932
1,2,3.72578,-3.79503,13.36060,-4.67873,2.75535
1,2.5,3.89907,-3.70839,13.11799,-4.54010,2.65137
1,3,4.05504,-3.62174,12.84073,-4.36681,2.56472
1,3.5,4.21100,-3.48311,12.51148,-4.17620,2.47808
1,4,4.40162,-3.36181,12.19956,-4.00291,2.39143
1,4.5,4.59224,-3.22318,11.80099,-3.76031,2.32212
1,5,4.80019,-3.08455,11.45442,-3.56970,2.25280
1.5,-5,2.23547,-2.96325,11.43709,-3.67367,4.78286
1.5,-4.5,2.32212,-3.10188,11.81832,-3.89894,4.55759
1.5,-4,2.39143,-3.22318,12.19956,-4.14154,4.38429
1.5,-3.5,2.47808,-3.32715,12.54614,-4.36681,4.19367
1.5,-3,2.54740,-3.43113,12.87539,-4.57476,4.03771
1.5,-2.5,2.65137,-3.51777,13.15265,-4.74804,3.86442
